epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
116,2021-04-18,Brazil,RJ,TOTAL,148,41310,3927,703349,41310,703349,239.27099,4073.85648,0.05873,653975,52017,2313502,13399.99790,1857188,10756.98889,529649,3067.77150
116,2021-04-18,Brazil,RN,TOTAL,59,5165,2433,215235,5106,212692,147.28305,6137.55410,0.02400,150649,52838,679086,19364.54137,414423,11817.51844,122773,3500.94515
116,2021-04-18,Brazil,RO,TOTAL,13,4801,754,204482,4801,204482,270.14025,11505.69005,0.02348,180089,278705,529325,29783.79215,158536,8920.42369,46896,2638.72048
116,2021-04-18,Brazil,RR,TOTAL,0,1445,38,93790,1445,93752,238.54292,15483.00402,0.01541,86691,41093,219083,36166.57395,60858,10046.53651,28842,4761.28374
116,2021-04-18,Brazil,RS,TOTAL,71,23192,1386,921812,23192,921812,203.84559,8102.24695,0.02516,884729,13610,3520687,30945.00344,1939457,17046.81602,543851,4780.16679
116,2021-04-18,Brazil,SC,TOTAL,41,12582,1175,855902,12582,855902,175.60882,11945.95011,0.01470,822243,148451,1827719,25509.74293,859583,11997.32637,322032,4494.64799
116,2021-04-18,Brazil,SE,TOTAL,26,3955,661,190234,3955,190234,172.05407,8275.73546,0.02079,170284,2320,386688,16822.05912,273868,11914.05910,102373,4453.52496
116,2021-04-18,Brazil,SP,TOTAL,253,88350,6394,2746217,88350,2746217,192.40381,5980.56157,0.03217,2381499,1088735,12035827,26210.96748,6107125,13299.76368,3032479,6603.96734
116,2021-04-18,Brazil,TO,TOTAL,8,2382,300,153251,2374,152951,151.44329,9743.42379,0.01554,131837,405,462813,29424.82068,145531,9252.60003,48029,3053.59770
116,2021-04-18,Brazil,TOTAL,TOTAL,1522,373671,38838,13950997,373335,13943071,176.46326,6588.25124,0.02678,12303538,5514677,43239204,20419.38216,26210282,12377.60447,9606862,4536.76683
116,2021-04-19,Brazil,AC,TOTAL,15,1433,194,75599,1433,75599,162.48363,8571.94691,0.01896,62798,44233,197954,22445.41831,83807,9502.62774,21765,2467.86895
116,2021-04-19,Brazil,AL,TOTAL,23,3991,331,167039,3991,167039,119.58565,5005.12831,0.02389,158555,8803,402223,12052.14186,415711,12456.29401,145560,4361.53519
116,2021-04-19,Brazil,AM,TOTAL,25,12396,442,364028,12396,364028,299.08819,8783.19412,0.03405,311360,410,909902,21953.93183,535545,12921.52168,196756,4747.28906
116,2021-04-19,Brazil,AP,TOTAL,10,1477,258,103374,1477,103374,174.64182,12223.03546,0.01429,75190,2205,169813,20078.84304,78508,9282.85708,26543,3138.46838
